fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol",classe,posicaoOriginal
11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6,464.0
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,1208.0
8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6,919.0
7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6,1082.0
7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,5,722.0
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5,208.0
10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,5,795.0
12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6,338.0
5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6,1114.0
7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6,1092.0
7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,6,1313.0
6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,5,1328.0
8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,6,746.0
7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,5,686.0
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5,622.0
6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,6,1411.0
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5,158.0
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7,1132.0
8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,6,998.0
8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6,964.0
12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7,583.0
7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5,1384.0
6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6,1526.0
7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,5,1500.0
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,1184.0
7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5,987.0
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5,480.0
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5,195.0
7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5,723.0
10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6,408.0
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,1562.0
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,53.0
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,383.0
9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,5,636.0
10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6,487.0
7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5,1254.0
7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,6,1140.0
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,1232.0
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,28.0
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,667.0
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,155.0
6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5,939.0
7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5,769.0
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5,129.0
8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,5,578.0
7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6,894.0
7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7,1201.0
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,624.0
8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,6,1404.0
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5,1418.0
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,1179.0
10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,7,953.0
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6,308.0
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6,460.0
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,82.0
7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7,1177.0
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6,300.0
11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6,441.0
7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7,1398.0
9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,6,709.0
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,98.0
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,683.0
7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6,204.0
6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,5,1381.0
6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,7,1433.0
6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6,1142.0
6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,5,1355.0
9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,5,920.0
8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5,759.0
6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6,1175.0
7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6,715.0
7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,5,1546.0
9.2,0.56,0.18,1.6,0.078,10,21,0.99576,3.15,0.49,9.9,5,880.0
10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,7,506.0
8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,6,332.0
9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6,1153.0
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,157.0
7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5,1240.0
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,1077.0
7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6,770.0
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,45.0
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5,1128.0
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,9.0
9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,5,524.0
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.5666666666667,7,1475.0
11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,6,1060.0
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7,488.0
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,19.0
7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5,824.0
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,971.0
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,565.0
8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,5,801.0
