fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol",classe,posicaoOriginal
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,1089.0
6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6,591.0
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6,1017.0
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3,1478.0
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7,901.0
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,453.0
9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,5,905.0
7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6,248.0
10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5,482.0
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5,1352.0
5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6,695.0
8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,3,899.0
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,650.0
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7,1002.0
6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,6,1590.0
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,425.0
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,64.0
9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,6,653.0
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4,1233.0
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,105.0
7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,5,303.0
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5,525.0
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7,1477.0
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,396.0
8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6,921.0
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,1348.0
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,532.0
7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,5,497.0
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5,1119.0
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,1407.0
7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6,869.0
12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6,340.0
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7,346.0
7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,6,1013.0
6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,4,1307.0
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,278.0
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,1136.0
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,285.0
7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6,6,1495.0
5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6,1126.0
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,66.0
6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5,202.0
8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,5,852.0
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,1099.0
7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8,1120.0
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,557.0
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,324.0
6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6,1158.0
6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5,1394.0
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7,638.0
5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6,1321.0
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,1305.0
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5,439.0
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,671.0
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4,1176.0
7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5,1226.0
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6,405.0
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7,996.0
6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5,1447.0
9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6,520.0
7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6,792.0
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7,947.0
7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,5,1421.0
7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,7,1000.0
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,342.0
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,38.0
8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,6,681.0
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5,306.0
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5,257.0
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,805.0
10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5,889.0
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6,354.0
8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,5,834.0
6,0.42,0.19,2,0.075,22,47,0.99522,3.39,0.78,10,6,1524.0
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,478.0
8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,5,1303.0
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,718.0
9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,5,693.0
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,78.0
8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5,1479.0
6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6,1096.0
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6,484.0
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6,173.0
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4,1261.0
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7,1006.0
6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,6,1503.0
11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,5,1344.0
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5,282.0
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,106.0
9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,6,568.0
9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7,943.0
8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,5,1032.0
7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7,855.0
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,1265.0
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,1250.0
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5,263.0
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5,1383.0
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,1243.0
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,676.0
7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5,707.0
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,91.0
10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,6,1015.0
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5,1474.0
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,438.0
8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,7,974.0
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,127.0
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,56.0
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,68.0
8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,716.0
8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,6,1145.0
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,84.0
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6,559.0
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,1324.0
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,310.0
7.6,0.35,0.6,2.6,0.073,23,44,0.99656,3.38,0.79,11.1,6,1472.0
9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,5,562.0
11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5,618.0
6.8,0.68,0.21,2.1,0.07,9,23,0.99546,3.38,0.6,10.3,5,1486.0
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,6,1444.0
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,1347.0
7,0.42,0.19,2.3,0.071,18,36,0.99476,3.39,0.56,10.9,5,1284.0
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6,449.0
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,787.0
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6,601.0
9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,5,771.0
7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,5,1430.0
7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5,1428.0
7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,5,1365.0
8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,5,977.0
10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,6,1267.0
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,167.0
7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6,809.0
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,34.0
