fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol",classe,posicaoOriginal
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6,1054.0
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7,1059.0
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5,1476.0
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,970.0
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,1409.0
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5,163.0
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,140.0
9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7,1323.0
8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5,463.0
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,153.0
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6,162.0
5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4,1480.0
7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5,820.0
10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,6,1182.0
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5,561.0
8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6,936.0
6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5,370.0
10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6,912.0
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,1164.0
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,1258.0
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,122.0
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,644.0
6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,6,907.0
9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5,428.0
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,135.0
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,29.0
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,93.0
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,275.0
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5,928.0
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,761.0
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,348.0
10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7,1147.0
9.6,0.33,0.52,2.2,0.074,13,25,0.99509,3.36,0.76,12.4,7,940.0
12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6,811.0
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6,336.0
10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,6,1080.0
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,400.0
6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,6,1463.0
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5,523.0
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,1088.0
8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6,878.0
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6,1554.0
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,560.0
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5,190.0
9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,5,730.0
7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5,602.0
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,526.0
10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,6,842.0
6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,6,1570.0
7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6,1378.0
7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,5,800.0
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5,483.0
7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6,309.0
8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,5,796.0
10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,5,1436.0
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,486.0
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,223.0
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,172.0
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6,658.0
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6,1504.0
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5,652.0
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5,295.0
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,1310.0
8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6,1073.0
6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6,1513.0
7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,5,1334.0
7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5,629.0
9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,5,672.0
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,32.0
6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5,1589.0
6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5,871.0
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,895.0
5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7,1157.0
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,499.0
6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,5,1085.0
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,1247.0
6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,6,1455.0
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7,903.0
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5,215.0
7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6,386.0
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5,44.0
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4,1467.0
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,555.0
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5,181.0
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,160.0
7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,6,908.0
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,751.0
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,25.0
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,283.0
8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,6,1106.0
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6,381.0
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7,444.0
8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,5,414.0
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,1294.0
7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,6,790.0
10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6,892.0
9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,5,760.0
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,909.0
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5,1465.0
9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,655.0
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,1488.0
9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5,819.0
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,24.0
7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,6,1588.0
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6,1274.0
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7,951.0
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,1050.0
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6,197.0
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,238.0
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,788.0
6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5,1448.0
7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,6,780.0
7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5,594.0
10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6,1129.0
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,152.0
7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,6,1329.0
7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,6,1508.0
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,18.0
7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,6,1314.0
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,815.0
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3,690.0
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,1296.0
6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,5,962.0
7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6,954.0
7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6,1087.0
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6,1101.0
6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6,1460.0
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,1339.0
6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5,1558.0
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,100.0
