@relation '/home/lapsec/Documentos/Classificador/bases/NSL_KDD-master/KDDTrain+binary_class-weka.filters.unsupervised.attribute.Remove-R10-34,38-41-weka.filters.unsupervised.attribute.Remove-R10-12-weka.filters.unsupervised.attribute.Remove-R1,8-9'

@attribute protocol_type {icmp,tcp,udp}
@attribute service {IRC,Z39_50,aol,harvest,tftp_u,http_2784,http_8001,X11,urh_i,rje,auth,bgp,courier,csnet_ns,ctf,daytime,discard,domain,domain_u,echo,eco_i,ecr_i,red_i,tim_i,efs,exec,finger,ftp,ftp_data,pm_dump,gopher,hostnames,http,http_443,imap4,iso_tsap,klogin,kshell,ldap,link,login,mtp,name,netbios_dgm,netbios_ssn,netbios_ns,netstat,nnsp,nntp,ntp_u,other,pop_2,pop_3,printer,private,remote_job,shell,smtp,sql_net,ssh,sunrpc,supdup,systat,telnet,time,urp_i,uucp,uucp_path,vmnet,whois}
@attribute flag {REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute land numeric
@attribute classe {0,1}

@data
tcp,http,SF,313,761,0,0
tcp,http,SF,219,1212,0,0
tcp,http,SF,245,9165,0,0
tcp,http,SF,328,2243,0,0
tcp,http,REJ,0,0,0,0
tcp,http,SF,251,301,0,0
tcp,smtp,SF,2089,335,0,0
tcp,http,REJ,0,0,0,0
tcp,http,SF,237,511,0,0
tcp,http,SF,324,431,0,0
tcp,private,RSTR,1,0,0,1
tcp,Z39_50,REJ,0,0,0,1
udp,private,SF,105,145,0,0
tcp,http,SF,218,974,0,0
tcp,http,SF,325,2649,0,0
tcp,uucp_path,REJ,0,0,0,1
tcp,bgp,REJ,0,0,0,1
tcp,csnet_ns,S0,0,0,0,1
tcp,http,SF,328,275,0,0
tcp,bgp,S0,0,0,0,1
tcp,finger,SF,9,138,0,0
udp,domain_u,SF,46,46,0,0
tcp,smtp,SF,1079,334,0,0
udp,domain_u,SF,45,139,0,0
tcp,ftp,SF,273,903,0,0
tcp,private,S0,0,0,0,1
tcp,ldap,REJ,0,0,0,1
tcp,http,SF,237,138,0,0
tcp,http,SF,225,1357,0,0
tcp,private,S0,0,0,0,1
tcp,supdup,S0,0,0,0,1
udp,other,SF,147,0,0,0
tcp,http,SF,262,1011,0,0
icmp,ecr_i,SF,1032,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,261,8412,0,0
tcp,bgp,REJ,0,0,0,1
tcp,netbios_dgm,REJ,0,0,0,1
tcp,http,SF,294,1719,0,0
tcp,http,SF,221,981,0,0
tcp,http,SF,284,10352,0,0
tcp,gopher,SH,0,0,0,1
tcp,http,SF,309,16096,0,0
tcp,ftp_data,SF,334,0,0,1
tcp,telnet,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,214,283,0,0
tcp,vmnet,S0,0,0,0,1
tcp,systat,S0,0,0,0,1
tcp,http_443,S0,0,0,0,1
udp,domain_u,SF,46,78,0,0
tcp,ftp_data,SF,748,0,0,0
tcp,efs,S0,0,0,0,1
icmp,eco_i,SF,8,0,0,1
tcp,whois,S0,0,0,0,1
tcp,http,SF,329,8437,0,0
tcp,ftp_data,SF,9,0,0,0
udp,domain_u,SF,46,128,0,0
tcp,ftp_data,SF,1766,0,0,0
tcp,remote_job,S0,0,0,0,1
tcp,other,RSTR,1,0,0,1
tcp,finger,SF,8,135,0,0
tcp,http,SF,266,529,0,0
tcp,ftp_data,SF,245,0,0,0
tcp,http,SF,295,465,0,0
tcp,gopher,S0,0,0,0,1
tcp,http,SF,228,6834,0,0
icmp,ecr_i,SF,1032,0,0,1
tcp,imap4,REJ,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,whois,S0,0,0,0,1
tcp,http,REJ,0,0,0,0
tcp,other,REJ,0,0,0,1
udp,other,SF,1,0,0,1
tcp,iso_tsap,S0,0,0,0,1
icmp,ecr_i,SF,30,0,0,0
tcp,smtp,SF,2078,333,0,0
tcp,ftp_data,SF,19,0,0,0
tcp,smtp,SF,661,329,0,0
udp,private,SF,28,0,0,1
tcp,ftp_data,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,smtp,SF,1075,364,0,0
tcp,http,SF,223,656,0,0
tcp,ftp,SF,350,1185,0,1
tcp,http,SF,233,2470,0,0
tcp,private,S0,0,0,0,1
tcp,echo,S0,0,0,0,1
tcp,http,SF,201,1938,0,0
tcp,http,SF,271,4781,0,0
tcp,ftp_data,SF,14416,0,0,0
tcp,http,SF,227,11564,0,0
tcp,private,REJ,0,0,0,1
tcp,http,SF,225,2445,0,0
tcp,http,SF,176,426,0,0
tcp,klogin,S0,0,0,0,1
tcp,http,SF,227,762,0,0
tcp,smtp,SF,855,575,0,0
tcp,smtp,SF,944,330,0,0
tcp,smtp,SF,954,326,0,0
tcp,uucp_path,S0,0,0,0,1
tcp,http,SF,166,34660,0,0
tcp,http,SF,306,2698,0,0
tcp,netbios_ns,S0,0,0,0,1
tcp,private,REJ,0,0,0,1
icmp,ecr_i,SF,1480,0,0,1
tcp,iso_tsap,S0,0,0,0,1
tcp,http,SF,313,8549,0,0
tcp,link,S0,0,0,0,1
tcp,sunrpc,S0,0,0,0,1
tcp,http,SF,285,6008,0,0
tcp,http,SF,226,1411,0,0
tcp,http,SF,256,12984,0,0
tcp,smtp,SF,3740,449,0,0
tcp,http,SF,224,449,0,0
tcp,login,S0,0,0,0,1
tcp,ftp_data,SF,832,0,0,1
tcp,finger,S0,0,0,0,1
icmp,eco_i,SF,8,0,0,1
tcp,http,SF,201,169,0,0
tcp,http,SF,285,304,0,0
tcp,kshell,S0,0,0,0,1
tcp,ftp_data,SF,7422,0,0,0
tcp,http,SF,198,12884,0,0
tcp,smtp,SF,2310,328,0,0
tcp,http,SF,331,955,0,0
icmp,urp_i,SF,65,0,0,0
udp,private,SF,28,0,0,1
udp,domain_u,SF,45,77,0,0
tcp,ftp,RSTO,0,0,0,1
tcp,auth,S0,0,0,0,1
tcp,kshell,S0,0,0,0,1
tcp,finger,SF,9,142,0,0
tcp,http,SF,283,912,0,0
tcp,http,SF,221,1789,0,0
icmp,eco_i,SF,18,0,0,1
tcp,vmnet,S0,0,0,0,1
tcp,telnet,S0,0,0,0,1
tcp,ftp_data,S0,0,0,0,1
tcp,http,SF,302,1380,0,0
tcp,private,S0,0,0,0,1
icmp,eco_i,SF,8,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,355,870,0,0
icmp,eco_i,SF,8,0,0,1
tcp,telnet,SF,106,1468,0,0
tcp,http,SF,286,1423,0,0
tcp,other,RSTR,1,0,0,1
tcp,sql_net,SH,0,0,0,1
icmp,ecr_i,SF,1032,0,0,1
tcp,http,SF,168,9551,0,0
tcp,http,SF,238,864,0,0
tcp,private,RSTR,0,0,0,1
tcp,http,SF,291,10369,0,0
tcp,vmnet,S0,0,0,0,1
tcp,smtp,SF,749,330,0,0
tcp,http,SF,198,6924,0,0
tcp,mtp,REJ,0,0,0,1
tcp,http,SF,167,709,0,0
tcp,http,SF,241,851,0,0
tcp,http,SF,337,3360,0,0
tcp,smtp,SF,729,328,0,0
icmp,eco_i,SF,8,0,0,1
tcp,csnet_ns,S0,0,0,0,1
tcp,http,SF,222,1483,0,0
tcp,auth,REJ,0,0,0,1
tcp,http,REJ,0,0,0,0
udp,domain_u,SF,46,134,0,0
tcp,http,SF,246,2719,0,0
tcp,http,SF,222,771,0,0
tcp,vmnet,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,telnet,SF,279,9598,0,0
tcp,http,SF,226,651,0,0
tcp,http,SF,299,447,0,0
tcp,http,S0,0,0,0,1
tcp,ftp_data,SF,12,0,0,0
tcp,http,SF,281,1951,0,0
tcp,bgp,S0,0,0,0,1
udp,domain_u,SF,42,42,0,0
tcp,ftp,S0,0,0,0,1
tcp,time,S0,0,0,0,1
tcp,http,SF,263,453,0,0
tcp,private,RSTR,1,0,0,1
tcp,ftp,RSTO,0,0,0,0
tcp,private,S0,0,0,0,1
tcp,sql_net,S0,0,0,0,1
tcp,http,SF,283,1980,0,0
tcp,http,SF,161,5530,0,0
tcp,http,SF,211,321,0,0
tcp,http,SF,201,1701,0,0
icmp,eco_i,SF,8,0,0,1
udp,other,SF,147,0,0,0
tcp,private,S0,0,0,0,1
tcp,ftp_data,SF,567,0,0,0
tcp,hostnames,REJ,0,0,0,1
tcp,telnet,S0,0,0,0,1
tcp,ftp_data,SF,5131424,0,0,1
tcp,http,SF,320,420,0,0
icmp,eco_i,SF,8,0,0,1
tcp,smtp,S0,0,0,0,0
tcp,http,SF,204,1229,0,0
tcp,time,RSTR,0,0,0,1
tcp,ftp_data,SF,10389,0,0,0
tcp,uucp,S0,0,0,0,1
tcp,http,SF,344,573,0,0
tcp,exec,RSTO,0,0,0,1
tcp,netbios_dgm,S0,0,0,0,1
tcp,http,SF,243,821,0,0
icmp,ecr_i,SF,1032,0,0,1
icmp,eco_i,SF,8,0,0,1
tcp,private,REJ,0,0,0,1
udp,private,SF,105,146,0,0
tcp,private,S0,0,0,0,1
tcp,smtp,SF,1080,327,0,0
tcp,telnet,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,Z39_50,S0,0,0,0,1
tcp,smtp,SF,657,326,0,0
tcp,http_443,S0,0,0,0,1
tcp,http,SF,284,765,0,0
tcp,http,SF,261,15455,0,0
tcp,http,SF,317,315,0,0
udp,domain_u,SF,33,0,0,0
tcp,private,REJ,0,0,0,1
tcp,private,RSTR,0,0,0,1
udp,domain_u,SF,44,70,0,0
tcp,http,SF,215,584,0,0
tcp,private,S0,0,0,0,1
tcp,http,SF,332,2844,0,0
tcp,smtp,SF,978,334,0,0
tcp,http,SF,296,5670,0,0
tcp,telnet,S0,0,0,0,1
tcp,private,REJ,0,0,0,1
tcp,http,SF,214,9986,0,0
tcp,private,S0,0,0,0,1
udp,ntp_u,SF,48,48,0,0
tcp,http,SF,226,1301,0,0
tcp,bgp,S0,0,0,0,1
icmp,urp_i,SF,78,0,0,0
tcp,private,S0,0,0,0,1
tcp,http,REJ,0,0,0,0
tcp,discard,S0,0,0,0,1
tcp,private,REJ,0,0,0,1
tcp,private,REJ,0,0,0,1
tcp,http,SF,294,3327,0,0
tcp,supdup,S0,0,0,0,1
tcp,http,SF,220,1249,0,0
tcp,other,REJ,0,0,0,1
tcp,http,SF,196,3282,0,0
tcp,http,S0,0,0,0,1
tcp,http,SF,327,4482,0,0
tcp,uucp_path,REJ,0,0,0,1
tcp,ftp_data,SF,319,0,0,0
tcp,smtp,SF,1087,302,0,0
tcp,http,SF,210,3754,0,0
tcp,sql_net,S0,0,0,0,1
tcp,http,REJ,0,0,0,0
tcp,http,SF,234,6282,0,0
icmp,eco_i,SF,8,0,0,1
tcp,http,SF,54540,8314,0,1
tcp,http,SF,237,1461,0,0
tcp,ftp_data,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,200,955,0,0
tcp,http,SF,219,657,0,0
tcp,http,SF,284,5921,0,0
tcp,nntp,S0,0,0,0,1
tcp,http,SF,325,426,0,0
tcp,courier,S0,0,0,0,1
icmp,eco_i,SF,30,0,0,0
tcp,http,SF,335,7902,0,0
udp,domain_u,SF,36,0,0,0
tcp,private,S0,0,0,0,1
udp,domain_u,SF,43,43,0,0
tcp,courier,S0,0,0,0,1
tcp,http,REJ,0,0,0,0
tcp,private,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,216,1956,0,0
tcp,uucp,S0,0,0,0,1
udp,domain_u,SF,44,78,0,0
tcp,http,SF,347,8113,0,0
tcp,smtp,SF,570,280,0,0
tcp,http,SF,219,17540,0,0
udp,other,SF,146,0,0,0
tcp,ftp,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,private,RSTR,1,0,0,1
tcp,private,S0,0,0,0,1
icmp,eco_i,SF,18,0,0,1
tcp,time,SF,0,4,0,0
tcp,http,SF,233,581,0,0
tcp,finger,S0,0,0,0,1
tcp,ftp_data,SF,276,0,0,0
udp,domain_u,SF,44,139,0,0
icmp,eco_i,SF,8,0,0,1
tcp,telnet,SF,1828,148722,0,0
tcp,http,SF,200,764,0,0
udp,domain_u,SF,46,46,0,0
tcp,private,S0,0,0,0,1
tcp,telnet,S0,0,0,0,1
tcp,http,SF,216,5284,0,0
tcp,exec,RSTO,0,0,0,1
tcp,http,SF,234,997,0,0
tcp,http,SF,220,1643,0,0
tcp,login,S0,0,0,0,1
udp,private,SF,105,146,0,0
tcp,http,REJ,0,0,0,0
tcp,Z39_50,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,288,2881,0,0
tcp,uucp,RSTO,0,0,0,1
tcp,private,S0,0,0,0,1
udp,private,SF,1,0,0,1
udp,private,SF,28,0,0,1
tcp,http,SF,279,494,0,0
icmp,ecr_i,SF,1032,0,0,1
tcp,ftp_data,SF,192,0,0,0
tcp,telnet,SF,105,1401,0,0
tcp,private,REJ,0,0,0,1
tcp,smtp,SF,1330,282,0,0
icmp,ecr_i,SF,520,0,0,1
tcp,ftp_data,S0,0,0,0,1
tcp,http,SF,230,362,0,0
udp,domain_u,SF,44,110,0,0
tcp,http,SF,271,3582,0,0
tcp,http,SF,179,1668,0,0
tcp,ftp_data,SF,852,0,0,0
tcp,http,SF,222,310,0,0
tcp,http,SF,314,4137,0,0
tcp,login,RSTO,0,0,0,1
tcp,http,SF,230,6880,0,0
tcp,whois,S0,0,0,0,1
tcp,ctf,S0,0,0,0,1
tcp,smtp,SF,857,327,0,0
tcp,http,SF,234,1707,0,0
icmp,ecr_i,SF,1032,0,0,1
udp,private,SF,28,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,215,6367,0,0
udp,domain_u,SF,46,46,0,0
udp,private,SF,105,146,0,0
tcp,private,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,csnet_ns,S0,0,0,0,1
tcp,http,SF,305,2507,0,0
tcp,private,REJ,0,0,0,1
tcp,http,SF,336,15767,0,0
tcp,csnet_ns,S0,0,0,0,1
tcp,private,S0,0,0,0,1
udp,other,SF,147,105,0,0
tcp,http,SF,335,1212,0,0
tcp,telnet,S0,0,0,0,1
tcp,http,SF,339,241,0,0
tcp,http,SF,317,3245,0,0
tcp,private,S0,0,0,0,1
tcp,http,SF,54540,8314,0,1
tcp,vmnet,S0,0,0,0,1
udp,domain_u,SF,42,131,0,0
tcp,smtp,SF,986,368,0,0
tcp,private,S0,0,0,0,1
icmp,urp_i,SF,183,0,0,0
tcp,private,REJ,0,0,0,1
tcp,http,SF,405,23786,0,0
tcp,link,S0,0,0,0,1
tcp,smtp,SF,785,327,0,0
tcp,http,SF,258,4302,0,0
tcp,login,S0,0,0,0,1
icmp,eco_i,SF,8,0,0,1
tcp,http,SF,318,2649,0,0
tcp,private,REJ,0,0,0,1
tcp,ssh,S0,0,0,0,1
tcp,time,S0,0,0,0,1
tcp,http,SF,216,1240,0,0
tcp,private,RSTR,0,0,0,1
tcp,http,SF,291,320,0,0
tcp,http,SF,224,546,0,0
tcp,ftp_data,REJ,0,0,0,1
tcp,domain,S0,0,0,0,1
udp,domain_u,SF,17,42,0,0
tcp,private,S0,0,0,0,1
udp,domain_u,SF,29,29,0,0
udp,private,SF,105,147,0,0
icmp,eco_i,SF,30,0,0,0
tcp,http,SF,325,12884,0,0
tcp,login,S0,0,0,0,1
tcp,http,REJ,0,0,0,0
tcp,ftp_data,SF,12,0,0,0
tcp,http,SF,212,828,0,0
tcp,http,SF,240,1475,0,0
tcp,http,SF,292,13206,0,0
tcp,http,SF,172,12793,0,0
tcp,private,S0,0,0,0,1
tcp,http,SF,310,788,0,0
udp,domain_u,SF,44,128,0,0
udp,other,SF,145,0,0,0
tcp,ftp,SF,1238,2451,0,1
icmp,eco_i,SF,8,0,0,1
udp,domain_u,SF,45,45,0,0
tcp,private,RSTR,0,0,0,1
tcp,smtp,SF,1551,362,0,0
tcp,smtp,SF,1308,328,0,0
tcp,http,SF,356,1125,0,0
tcp,http,SF,364,6914,0,0
tcp,http,SF,331,776,0,0
icmp,eco_i,SF,30,0,0,0
tcp,private,S0,0,0,0,1
tcp,exec,S0,0,0,0,1
tcp,http,SF,247,7546,0,0
tcp,http,SF,300,1841,0,0
tcp,mtp,S0,0,0,0,1
tcp,http,SF,355,2109,0,0
tcp,finger,S0,0,0,0,1
tcp,http,SF,316,1260,0,0
udp,domain_u,SF,44,136,0,0
tcp,ftp,SF,1458,4152,0,0
tcp,uucp_path,S0,0,0,0,1
udp,other,SF,146,105,0,0
tcp,private,RSTR,0,0,0,1
tcp,Z39_50,REJ,0,0,0,1
udp,private,SF,1,0,0,1
tcp,telnet,S0,0,0,0,1
tcp,imap4,S0,0,0,0,1
udp,other,SF,146,105,0,0
tcp,private,S0,0,0,0,1
tcp,smtp,RSTO,13794,2966,0,0
tcp,finger,S0,0,0,0,1
tcp,smtp,SF,911,325,0,0
tcp,smtp,S0,0,0,0,1
tcp,http,SF,280,3332,0,0
tcp,daytime,S0,0,0,0,1
tcp,private,S0,0,0,0,1
udp,domain_u,SF,41,41,0,0
tcp,finger,SF,10,139,0,0
tcp,http,SF,311,488,0,0
tcp,http,SF,281,1745,0,0
tcp,http,SF,297,1285,0,0
tcp,ldap,S0,0,0,0,1
udp,domain_u,SF,43,72,0,0
tcp,finger,S0,0,0,0,1
tcp,ftp_data,SF,334,0,0,1
icmp,eco_i,SF,8,0,0,1
tcp,http,SF,215,9399,0,0
tcp,Z39_50,S0,0,0,0,1
tcp,http,REJ,0,0,0,0
udp,other,SF,516,4,0,0
tcp,private,REJ,0,0,0,1
tcp,bgp,S0,0,0,0,1
tcp,private,REJ,0,0,0,1
tcp,time,S0,0,0,0,1
udp,domain_u,SF,44,44,0,0
tcp,time,RSTO,0,0,0,1
tcp,smtp,SF,676,328,0,0
tcp,http,SF,334,455,0,0
tcp,private,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,204,1596,0,0
icmp,ecr_i,SF,520,0,0,1
tcp,Z39_50,S0,0,0,0,1
tcp,http,SF,192,301,0,0
icmp,eco_i,SF,18,0,0,1
tcp,uucp,S0,0,0,0,1
tcp,netbios_dgm,S0,0,0,0,1
tcp,ftp,S0,0,0,0,1
tcp,http,SF,256,4486,0,0
icmp,eco_i,SF,64,0,0,0
udp,domain_u,SF,46,136,0,0
tcp,private,S0,0,0,0,1
tcp,http,SF,220,253,0,0
udp,domain_u,SF,41,117,0,0
tcp,http,SF,248,2313,0,0
tcp,ftp,SF,1250,2451,0,1
tcp,whois,REJ,0,0,0,1
udp,domain_u,SF,44,70,0,0
tcp,telnet,SF,209,1824,0,0
tcp,other,SF,5891,0,0,0
icmp,eco_i,SF,8,0,0,1
tcp,http,SF,276,1767,0,0
tcp,http,SF,231,2304,0,0
tcp,http,S0,0,0,0,1
tcp,http,SF,312,422,0,0
tcp,remote_job,RSTR,1,0,0,1
tcp,discard,S0,0,0,0,1
udp,domain_u,SF,29,0,0,0
tcp,ftp_data,SF,13239,0,0,0
tcp,ftp_data,S0,0,0,0,1
tcp,finger,SF,8,223,0,0
tcp,shell,S0,0,0,0,1
udp,domain_u,SF,44,79,0,0
tcp,private,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,324,10647,0,0
tcp,private,S0,0,0,0,1
icmp,eco_i,SF,18,0,0,1
tcp,http,SF,355,657,0,0
tcp,other,RSTR,1,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,54540,8314,0,1
tcp,http,SF,205,253,0,0
tcp,netbios_ns,REJ,0,0,0,1
tcp,http,SF,325,753,0,0
tcp,systat,REJ,0,0,0,1
tcp,http,SF,232,193,0,0
tcp,smtp,SF,886,326,0,0
tcp,http,SF,319,3432,0,0
tcp,supdup,S0,0,0,0,1
tcp,private,REJ,0,0,0,1
tcp,http,SF,147,12141,0,0
tcp,smtp,SF,1451,330,0,0
tcp,http,SF,54540,8314,0,1
tcp,http,SF,235,1889,0,0
tcp,private,RSTR,0,0,0,1
tcp,private,REJ,0,0,0,1
tcp,http,SF,299,1540,0,0
tcp,private,S0,0,0,0,1
tcp,kshell,S0,0,0,0,1
tcp,hostnames,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,237,241,0,0
tcp,uucp,RSTO,0,0,0,1
udp,other,SF,146,105,0,0
tcp,csnet_ns,REJ,0,0,0,1
udp,other,SF,146,105,0,0
tcp,http,SF,202,1923,0,0
tcp,echo,S0,0,0,0,1
tcp,ftp_data,SF,383,0,0,0
tcp,http,SF,345,2254,0,0
tcp,http,SF,278,6546,0,0
tcp,domain,S0,0,0,0,1
tcp,http,SF,196,16143,0,0
tcp,klogin,S0,0,0,0,1
tcp,http,SF,277,2253,0,0
tcp,http,SF,203,578,0,0
tcp,private,RSTR,0,0,0,1
udp,other,SF,147,105,0,0
tcp,finger,S0,0,0,0,1
tcp,ftp,S0,0,0,0,1
tcp,ctf,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,367,5199,0,0
tcp,ssh,S0,0,0,0,1
tcp,http,SF,257,23051,0,0
icmp,eco_i,SF,8,0,0,1
udp,domain_u,SF,44,44,0,0
udp,domain_u,SF,128,44,0,0
tcp,http,SF,254,523,0,0
tcp,http,SF,225,22996,0,0
tcp,smtp,SF,775,331,0,0
tcp,http,SF,314,266,0,0
tcp,supdup,S0,0,0,0,1
tcp,smtp,SF,525,335,0,0
tcp,other,REJ,0,0,0,1
udp,other,SF,1,0,0,1
tcp,http,SF,213,37327,0,0
tcp,http,SF,190,8654,0,0
tcp,private,S0,0,0,0,1
udp,private,SF,28,0,0,1
tcp,iso_tsap,REJ,0,0,0,1
tcp,ftp,SF,1067,3081,0,0
udp,domain_u,SF,126,44,0,0
tcp,http,SF,333,2547,0,0
tcp,netbios_ns,S0,0,0,0,1
tcp,ftp_data,SF,4491,0,0,0
tcp,ldap,REJ,0,0,0,1
tcp,http,SF,54540,8314,0,1
tcp,http,SF,239,255,0,0
tcp,http,REJ,0,0,0,0
tcp,smtp,SF,1258,359,0,0
tcp,telnet,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,REJ,0,0,0,0
udp,domain_u,SF,42,65,0,0
tcp,http,SF,224,1270,0,0
tcp,http,SF,231,3215,0,0
udp,other,SF,147,105,0,0
udp,domain_u,SF,44,72,0,0
icmp,urp_i,SF,183,0,0,0
tcp,auth,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,telnet,RSTO,125,179,0,1
tcp,auth,SF,13,40,0,0
tcp,http,SF,233,4759,0,0
icmp,eco_i,SF,30,0,0,0
tcp,nntp,S0,0,0,0,1
